Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
,11/06/2018 04:03:36 pm,589.000,0.1,0.09
,11/06/2018 04:03:36 pm,589.050,0.1,0.09
,11/06/2018 04:03:36 pm,589.100,0.1,0.09
,11/06/2018 04:03:36 pm,589.150,0.1,0.09
,11/06/2018 04:03:36 pm,589.200,0.1,0.10
,11/06/2018 04:03:36 pm,589.250,0.1,0.09
,11/06/2018 04:03:36 pm,589.300,0.1,0.09
,11/06/2018 04:03:36 pm,589.350,0.1,0.09
,11/06/2018 04:03:36 pm,589.400,0.1,0.09
,11/06/2018 04:03:36 pm,589.450,0.1,0.09
,11/06/2018 04:03:36 pm,589.500,0.1,0.09
,11/06/2018 04:03:36 pm,589.550,0.1,0.09
,11/06/2018 04:03:36 pm,589.600,0.1,0.09
,11/06/2018 04:03:36 pm,589.650,0.1,0.09
,11/06/2018 04:03:36 pm,589.700,0.1,0.09
,11/06/2018 04:03:36 pm,589.750,0.1,0.10
,11/06/2018 04:03:36 pm,589.800,0.1,0.09
,11/06/2018 04:03:36 pm,589.850,0.1,0.09
,11/06/2018 04:03:36 pm,589.900,0.1,0.10
,11/06/2018 04:03:36 pm,589.950,0.1,0.09
,11/06/2018 04:03:37 pm,590.000,0.1,0.09
,11/06/2018 04:03:37 pm,590.050,0.1,0.09
,11/06/2018 04:03:37 pm,590.100,0.1,0.09
,11/06/2018 04:03:37 pm,590.150,0.1,0.09
,11/06/2018 04:03:37 pm,590.200,0.1,0.10
,11/06/2018 04:03:37 pm,590.250,0.1,0.09
,11/06/2018 04:03:37 pm,590.300,0.1,0.09
,11/06/2018 04:03:37 pm,590.350,0.1,0.09
,11/06/2018 04:03:37 pm,590.400,0.1,0.09
,11/06/2018 04:03:37 pm,590.450,0.1,0.10
,11/06/2018 04:03:37 pm,590.500,0.1,0.09
,11/06/2018 04:03:37 pm,590.550,0.1,0.09
,11/06/2018 04:03:37 pm,590.600,0.1,0.09
,11/06/2018 04:03:37 pm,590.650,0.1,0.09
,11/06/2018 04:03:37 pm,590.700,0.1,0.09
,11/06/2018 04:03:37 pm,590.750,0.1,0.10
,11/06/2018 04:03:37 pm,590.800,0.1,0.09
,11/06/2018 04:03:37 pm,590.850,0.1,0.10
,11/06/2018 04:03:37 pm,590.900,0.1,0.10
,11/06/2018 04:03:37 pm,590.950,0.1,0.09
,11/06/2018 04:03:38 pm,591.000,0.1,0.10
,11/06/2018 04:03:38 pm,591.050,0.1,0.10
,11/06/2018 04:03:38 pm,591.100,0.1,0.09
,11/06/2018 04:03:38 pm,591.150,0.1,0.10
,11/06/2018 04:03:38 pm,591.200,0.1,0.09
,11/06/2018 04:03:38 pm,591.250,0.1,0.09
,11/06/2018 04:03:38 pm,591.300,0.1,0.10
,11/06/2018 04:03:38 pm,591.350,0.1,0.09
,11/06/2018 04:03:38 pm,591.400,0.1,0.10
,11/06/2018 04:03:38 pm,591.450,0.1,0.10
,11/06/2018 04:03:38 pm,591.500,0.1,0.10
,11/06/2018 04:03:38 pm,591.550,0.1,0.10
,11/06/2018 04:03:38 pm,591.600,0.1,0.10
,11/06/2018 04:03:38 pm,591.650,0.1,0.10
,11/06/2018 04:03:38 pm,591.700,0.1,0.10
,11/06/2018 04:03:38 pm,591.750,0.1,0.10
,11/06/2018 04:03:38 pm,591.800,0.1,0.10
,11/06/2018 04:03:38 pm,591.850,0.1,0.10
,11/06/2018 04:03:38 pm,591.900,0.1,0.10
,11/06/2018 04:03:38 pm,591.950,0.1,0.11
,11/06/2018 04:03:39 pm,592.000,0.1,0.11
,11/06/2018 04:03:39 pm,592.050,0.1,0.11
,11/06/2018 04:03:39 pm,592.100,0.1,0.11
,11/06/2018 04:03:39 pm,592.150,0.1,0.11
,11/06/2018 04:03:39 pm,592.200,0.1,0.11
,11/06/2018 04:03:39 pm,592.250,0.1,0.11
,11/06/2018 04:03:39 pm,592.300,0.1,0.11
,11/06/2018 04:03:39 pm,592.350,0.1,0.11
,11/06/2018 04:03:39 pm,592.400,0.1,0.10
,11/06/2018 04:03:39 pm,592.450,0.1,0.11
,11/06/2018 04:03:39 pm,592.500,0.1,0.11
,11/06/2018 04:03:39 pm,592.550,0.1,0.10
,11/06/2018 04:03:39 pm,592.600,0.1,0.11
,11/06/2018 04:03:39 pm,592.650,0.1,0.11
,11/06/2018 04:03:39 pm,592.700,0.1,0.11
,11/06/2018 04:03:39 pm,592.750,0.1,0.11
,11/06/2018 04:03:39 pm,592.800,0.1,0.11
,11/06/2018 04:03:39 pm,592.850,0.1,0.11
,11/06/2018 04:03:39 pm,592.900,0.1,0.11
,11/06/2018 04:03:39 pm,592.950,0.1,0.11
,11/06/2018 04:03:40 pm,593.000,0.1,0.11
,11/06/2018 04:03:40 pm,593.050,0.1,0.11
,11/06/2018 04:03:40 pm,593.100,0.1,0.10
,11/06/2018 04:03:40 pm,593.150,0.1,0.11
,11/06/2018 04:03:40 pm,593.200,0.1,0.10
,11/06/2018 04:03:40 pm,593.250,0.1,0.10
,11/06/2018 04:03:40 pm,593.300,0.1,0.11
,11/06/2018 04:03:40 pm,593.350,0.1,0.10
,11/06/2018 04:03:40 pm,593.400,0.1,0.11
,11/06/2018 04:03:40 pm,593.450,0.1,0.11
,11/06/2018 04:03:40 pm,593.500,0.1,0.11
,11/06/2018 04:03:40 pm,593.550,0.1,0.11
,11/06/2018 04:03:40 pm,593.600,0.1,0.10
,11/06/2018 04:03:40 pm,593.650,0.1,0.10
,11/06/2018 04:03:40 pm,593.700,0.1,0.11
,11/06/2018 04:03:40 pm,593.750,0.1,0.10
,11/06/2018 04:03:40 pm,593.800,0.1,0.11
,11/06/2018 04:03:40 pm,593.850,0.1,0.10
,11/06/2018 04:03:40 pm,593.900,0.1,0.11
