Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
,11/06/2018 03:33:35 pm,779.100,0.0,0.03
,11/06/2018 03:33:35 pm,779.150,0.0,0.03
,11/06/2018 03:33:35 pm,779.200,0.0,0.03
,11/06/2018 03:33:35 pm,779.250,0.0,0.03
,11/06/2018 03:33:35 pm,779.300,0.0,0.03
,11/06/2018 03:33:35 pm,779.350,0.0,0.03
,11/06/2018 03:33:35 pm,779.400,0.0,0.03
,11/06/2018 03:33:35 pm,779.450,0.0,0.03
,11/06/2018 03:33:35 pm,779.500,0.0,0.03
,11/06/2018 03:33:35 pm,779.550,0.0,0.03
,11/06/2018 03:33:35 pm,779.600,0.0,0.03
,11/06/2018 03:33:35 pm,779.650,0.0,0.03
,11/06/2018 03:33:35 pm,779.700,0.0,0.03
,11/06/2018 03:33:35 pm,779.750,0.0,0.03
,11/06/2018 03:33:35 pm,779.800,0.0,0.03
,11/06/2018 03:33:35 pm,779.850,0.0,0.03
,11/06/2018 03:33:35 pm,779.900,0.0,0.03
,11/06/2018 03:33:35 pm,779.950,0.0,0.03
,11/06/2018 03:33:36 pm,780.000,0.0,0.03
,11/06/2018 03:33:36 pm,780.050,0.0,0.03
,11/06/2018 03:33:36 pm,780.100,0.0,0.03
,11/06/2018 03:33:36 pm,780.150,0.0,0.03
,11/06/2018 03:33:36 pm,780.200,0.0,0.03
,11/06/2018 03:33:36 pm,780.250,0.0,0.03
,11/06/2018 03:33:36 pm,780.300,0.0,0.03
,11/06/2018 03:33:36 pm,780.350,0.0,0.03
,11/06/2018 03:33:36 pm,780.400,0.0,0.03
,11/06/2018 03:33:36 pm,780.450,0.0,0.03
,11/06/2018 03:33:36 pm,780.500,0.0,0.03
,11/06/2018 03:33:36 pm,780.550,0.0,0.03
,11/06/2018 03:33:36 pm,780.600,0.0,0.03
,11/06/2018 03:33:36 pm,780.650,0.0,0.03
,11/06/2018 03:33:36 pm,780.700,0.0,0.03
,11/06/2018 03:33:36 pm,780.750,0.0,0.03
,11/06/2018 03:33:36 pm,780.800,0.0,0.03
,11/06/2018 03:33:36 pm,780.850,0.0,0.03
,11/06/2018 03:33:36 pm,780.900,0.0,0.03
,11/06/2018 03:33:36 pm,780.950,0.0,0.03
,11/06/2018 03:33:37 pm,781.000,0.0,0.03
,11/06/2018 03:33:37 pm,781.050,0.0,0.03
,11/06/2018 03:33:37 pm,781.100,0.0,0.03
,11/06/2018 03:33:37 pm,781.150,0.0,0.03
,11/06/2018 03:33:37 pm,781.200,0.0,0.03
,11/06/2018 03:33:37 pm,781.250,0.0,0.03
,11/06/2018 03:33:37 pm,781.300,0.0,0.03
,11/06/2018 03:33:37 pm,781.350,0.0,0.03
,11/06/2018 03:33:37 pm,781.400,0.0,0.03
,11/06/2018 03:33:37 pm,781.450,0.0,0.03
,11/06/2018 03:33:37 pm,781.500,0.0,0.03
,11/06/2018 03:33:37 pm,781.550,0.0,0.03
,11/06/2018 03:33:37 pm,781.600,0.0,0.03
,11/06/2018 03:33:37 pm,781.650,0.0,0.03
,11/06/2018 03:33:37 pm,781.700,0.0,0.03
,11/06/2018 03:33:37 pm,781.750,0.0,0.03
,11/06/2018 03:33:37 pm,781.800,0.0,0.03
,11/06/2018 03:33:37 pm,781.850,0.0,0.03
,11/06/2018 03:33:37 pm,781.900,0.0,0.03
,11/06/2018 03:33:37 pm,781.950,0.0,0.03
,11/06/2018 03:33:38 pm,782.000,0.0,0.03
,11/06/2018 03:33:38 pm,782.050,0.0,0.03
,11/06/2018 03:33:38 pm,782.100,0.0,0.03
,11/06/2018 03:33:38 pm,782.150,0.0,0.03
,11/06/2018 03:33:38 pm,782.200,0.0,0.03
,11/06/2018 03:33:38 pm,782.250,0.0,0.03
,11/06/2018 03:33:38 pm,782.300,0.0,0.03
,11/06/2018 03:33:38 pm,782.350,0.0,0.03
,11/06/2018 03:33:38 pm,782.400,0.0,0.03
,11/06/2018 03:33:38 pm,782.450,0.0,0.03
,11/06/2018 03:33:38 pm,782.500,0.0,0.03
,11/06/2018 03:33:38 pm,782.550,0.0,0.03
,11/06/2018 03:33:38 pm,782.600,0.0,0.03
,11/06/2018 03:33:38 pm,782.650,0.0,0.03
,11/06/2018 03:33:38 pm,782.700,0.0,0.03
,11/06/2018 03:33:38 pm,782.750,0.0,0.03
,11/06/2018 03:33:38 pm,782.800,0.0,0.03
,11/06/2018 03:33:38 pm,782.850,0.0,0.03
,11/06/2018 03:33:38 pm,782.900,0.0,0.03
,11/06/2018 03:33:38 pm,782.950,0.0,0.03
,11/06/2018 03:33:39 pm,783.000,0.0,0.03
,11/06/2018 03:33:39 pm,783.050,0.0,0.03
,11/06/2018 03:33:39 pm,783.100,0.0,0.03
,11/06/2018 03:33:39 pm,783.150,0.0,0.03
,11/06/2018 03:33:39 pm,783.200,0.0,0.03
,11/06/2018 03:33:39 pm,783.250,0.0,0.03
,11/06/2018 03:33:39 pm,783.300,0.0,0.03
,11/06/2018 03:33:39 pm,783.350,0.0,0.03
,11/06/2018 03:33:39 pm,783.400,0.0,0.03
,11/06/2018 03:33:39 pm,783.450,0.0,0.03
,11/06/2018 03:33:39 pm,783.500,0.0,0.03
,11/06/2018 03:33:39 pm,783.550,0.0,0.03
,11/06/2018 03:33:39 pm,783.600,0.0,0.03
,11/06/2018 03:33:39 pm,783.650,0.0,0.03
,11/06/2018 03:33:39 pm,783.700,0.0,0.03
